User,Year,Week,Status
Noah,2042,1,Not Set
Mike,2042,1,Ready
Josh,2042,1,Not Set
Devin,2042,1,Ready
Nick,2042,1,Ready
Doug,2042,1,Not Set
Noah,2042,2,Not Set
Mike,2042,2,Ready
Josh,2042,2,Ready
Devin,2042,2,Ready
Nick,2042,2,Ready
Doug,2042,2,Ready
Noah,2042,3,Ready
Mike,2042,3,Ready
Josh,2042,3,Ready
Devin,2042,3,Not Set
Nick,2042,3,Not Set
Doug,2042,3,Ready
Noah,2042,4,Ready
Mike,2042,4,Not Set
Josh,2042,4,Not Set
Devin,2042,4,Ready
Nick,2042,4,Ready
Doug,2042,4,Ready
Noah,2042,5,Not Set
Mike,2042,5,Ready
Josh,2042,5,Ready
Devin,2042,5,Ready
Nick,2042,5,Ready
Doug,2042,5,Ready
Noah,2042,6,Ready
Mike,2042,6,Ready
Josh,2042,6,Ready
Devin,2042,6,Ready
Nick,2042,6,Ready
Doug,2042,6,Not Set
Noah,2042,7,Not Set
Mike,2042,7,Ready
Josh,2042,7,Ready
Devin,2042,7,Ready
Nick,2042,7,Ready
Doug,2042,7,Ready
Noah,2042,8,Ready
Mike,2042,8,Ready
Josh,2042,8,Not Set
Devin,2042,8,Ready
Nick,2042,8,Ready
Doug,2042,8,Ready
Noah,2042,9,Ready
Mike,2042,9,Ready
Josh,2042,9,Ready
Devin,2042,9,Ready
Nick,2042,9,Ready
Doug,2042,9,Not Set
Noah,2042,10,Ready
Mike,2042,10,Ready
Josh,2042,10,Ready
Devin,2042,10,Ready
Nick,2042,10,Not Set
Doug,2042,10,Ready
Mike,2042,11,Ready
Devin,2042,11,Ready
Josh,2042,11,Not Set
Noah,2042,11,Not Set
Doug,2042,11,Ready
Nick,2042,11,Ready
Mike,2042,12,Ready
Devin,2042,12,Ready
Josh,2042,12,Ready
Noah,2042,12,Ready
Doug,2042,12,Not Set
Nick,2042,12,Not Set
Mike,2042,13,Ready
Devin,2042,13,Not Set
Josh,2042,13,Not Set
Noah,2042,13,Ready
Doug,2042,13,Ready
Nick,2042,13,Not Set
Mike,2042,14,Ready
Devin,2042,14,Not Set
Josh,2042,14,Not Set
Noah,2042,14,Ready
Doug,2042,14,Ready
Nick,2042,14,Ready
